Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
06111956,mnist,latency,z3,5,10,"delta(4,)",2218.3507504463196,6280.516055822372,inf,inf,2278.3132264614105,21960.979460000992,inf,145350.89845728874,inf,5714.5209975242615,1919.2093834877014,4317.944260835648,inf,inf,Not robust,Not robust,Unknown,Unknown,Not robust,Not robust,Unknown,Not robust,Unknown,Not robust,Not robust,Not robust,Unknown,Unknown
08062246,mnist,baseline,np,5,10,"delta(1,)",0.0712118148803711,0.06260085105895996,0.05688595771789551,0.050441741943359375,0.05193829536437988,0.05296492576599121,0.055591583251953125,0.05218911170959473,0.05263924598693848,0.05333518981933594,0.05041313171386719,0.0517115592956543,0.052350521087646484,0.07999944686889648,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust
08122111,mnist,latency,np,5,10,"delta(4,)",0.305316686630249,31093.763587474823,inf,inf,0.4827401638031006,inf,inf,inf,inf,48653.13111138344,0.3473012447357178,34.4234094619751,inf,inf,Not robust,Not robust,Unknown,Unknown,Not robust,Unknown,Unknown,Unknown,Unknown,Not robust,Not robust,Not robust,Unknown,Unknown
08151402,fmnist,latency,z3,6,20,"delta(1,)",19857.69002890587,32207.80183982849,47964.69644904137,40398.397564172745,45445.04090976715,44169.27703499794,inf,33068.245111227036,inf,56247.92509460449,50496.538764476776,59097.162437438965,41899.92596125603,41304.93442082405,Robust,Not robust,Robust,Robust,Not robust,Robust,Unknown,Not robust,Unknown,Robust,Not robust,Robust,Robust,Robust
08151410,fmnist,latency,z3,5,10,"delta(1,)",965.231787443161,3181.074537754059,321.2699222564697,1611.1358807086945,2082.8047111034393,335.8556251525879,337.951819896698,775.9271605014801,3602.8568313121796,3044.3956933021545,5907.2126042842865,326.5473220348358,788.8584227561951,1219.5513911247253,Not robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust
06101421,mnist,latency,z3,5,10,"delta(1,)",514.7946925163269,628.1932528018951,740.2499949932098,1449.8179202079773,353.45235681533813,424.51445150375366,269.0824830532074,296.73604798316956,304.7737512588501,283.1667935848236,527.2507057189941,384.8977644443512,913.5617201328278,666.2413246631622,Robust,Robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Robust
09011603,fmnist,latency,milp,5,16,"delta(2,)",170.7484309673309,166.438529253006,118.8064205646515,346.0210981369019,302.244236946106,252.9458491802216,56.1375465393066,30.5029952526093,172.1356666088104,14.5717606544495,66.6783275604248,139.1330480575562,46.2769694328308,39.1917057037354,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08070837,mnist,baseline,np,5,10,"delta(4,)",0.04829072952270508,inf,0.04964709281921387,0.04814457893371582,0.048316001892089844,0.05054020881652832,0.04802846908569336,0.051711320877075195,0.047946929931640625,0.051323652267456055,0.04826974868774414,0.04824995994567871,0.04826617240905762,0.04796147346496582,Not robust,Unknown,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust
06112138,mnist,latency,z3,8,20,"delta(1,)",234097.9278137684,198575.36838650703,221977.0690331459,297643.7434387207,2670.389451980591,193282.2648396492,217348.6743311882,186266.49232172966,240337.15549635887,219987.97037672997,208757.41231799126,230314.6924176216,232867.51865243912,213761.03112506866,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
08121102,mnist,latency,np,5,20,"delta(1,)",0.1733858585357666,0.17005372047424316,0.16199326515197754,0.0012574195861816406,0.1686081886291504,0.16358304023742676,0.0014085769653320312,0.1704106330871582,0.17151784896850586,0.16878151893615723,0.16980743408203125,0.16329479217529297,0.17220044136047363,0.17435693740844727,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08101717,fmnist,latency,z3,5,20,"delta(1,)",1098.6977429389954,4981.2661011219025,7526.40420126915,11900.813237428665,3535.024398088455,8679.42958688736,10483.460325956345,2818.065037727356,21195.944921016693,16495.669715881348,13921.922885417938,8902.786499738693,15360.428498029709,5425.28848028183,Not robust,Not robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust
09121701,fmnist,latency,milp,5,20,"delta(1,)",11.8494095802307,21.3699469566345,20.7201733589172,4.0016024112701,6.7126433849335,15.1939675807953,1.9902453422546,16.6319954395294,4.6748433113098,1.3681170940399,4.5286219120026,24.4297919273376,2.6029677391052,9.569935798645,Robust,Not robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
